Timestamp,Voltage-1,Current-1,Power-1,Energy-1,Frequency-1,Powerfactor-1,Voltage-2,Current-2,Power-2,Energy-2,Frequency-2,Powerfactor-2,Voltage-3,Current-3,Power-3,Energy-3,Frequency-3,Powerfactor-3,Voltage-4,Current-4,Power-4,Energy-4,Frequency-4,Powerfactor-4,Voltage-5,Current-5,Power-5,Energy-5,Frequency-5,Powerfactor-5,Voltage-6,Current-6,Power-6,Energy-6,Frequency-6,Powerfactor-6,Voltage-7,Current-7,Power-7,Energy-7,Frequency-7,Powerfactor-7,Voltage-8,Current-8,Power-8,Energy-8,Frequency-8,Powerfactor-8,
29-08-2023 15:37,221.56,53.47,10682.11,10.68,47,0.9016862,215.09,53.23,9988.12,9.99,52,0.872382678,220.55,48.08,9844.78,9.84,49,0.928398353,228.23,56.9,11122.7,11.12,47,0.85649583,216.47,56.89,11050.45,11.05,46,0.897317596,211.82,47,8540.56,8.54,45,0.857870325,218.07,56.41,11000.87,11,54,0.894283188,213.6,48.59,8987.92,8.99,49,0.865986104,
29-08-2023 15:37,223.54,46.02,9176.11,9.18,50,0.891983759,223.7,48.78,10216.05,10.22,47,0.936214576,217.16,40.33,8009.19,8.01,52,0.914493285,221.07,53.02,10769.37,10.77,51,0.918799474,227.3,53.79,10916.42,10.92,55,0.892851825,218.7,48,9434.68,9.43,55,0.898746039,210.99,46.63,8745.77,8.75,54,0.88893663,220.3,59.15,12294.86,12.29,54,0.943526703,
29-08-2023 15:37,223.45,46.02,9592.31,9.59,49,0.932816782,214.41,50.22,9592.25,9.59,54,0.890838345,226.62,45.69,9215.96,9.22,48,0.890064235,221.71,51.79,9854.74,9.85,48,0.858250321,213.45,40.27,7544.11,7.54,49,0.877668246,213.78,51.28,10016.04,10.02,49,0.913652048,225.83,54.72,10927.67,10.93,49,0.884300255,220.12,48.26,9879.42,9.88,53,0.930003693,
29-08-2023 15:37,215.39,45.68,8824.7,8.82,55,0.89690866,213.38,45.9,9085.06,9.09,55,0.927600981,217.29,51.04,9802.42,9.8,50,0.883858775,211.16,59.88,10968.42,10.97,45,0.867462367,218.79,50.81,10174.76,10.17,45,0.915266762,213.69,59.68,11094.69,11.09,51,0.869966064,224.67,46.04,9385.17,9.39,52,0.90732239,226.11,46.47,9786.8,9.79,49,0.931425945,
29-08-2023 15:37,227.4,45.39,9030.65,9.03,51,0.874919851,215.63,50.38,9667.68,9.67,54,0.889928223,222.07,47.86,9974.53,9.97,50,0.938490529,225.68,49.28,10477.6,10.48,47,0.942102504,224.66,50.75,10191.31,10.19,51,0.893857107,223.38,56.7,11297.13,11.3,46,0.8919502,220.12,58.81,11122.42,11.12,52,0.859188863,220.18,58.87,12173.37,12.17,48,0.939158268,
29-08-2023 15:37,219.11,41.79,8162.56,8.16,52,0.891439388,218.65,41.12,8489.44,8.49,51,0.94422722,221.77,59.23,11687.27,11.69,45,0.889750983,226.62,54.18,11145.1,11.15,52,0.90770923,210.97,59.5,11595.29,11.6,53,0.92372729,213.15,58.69,10732.51,10.73,46,0.857930323,217.19,58.64,11666.39,11.67,51,0.916015602,220,41.19,8463.09,8.46,47,0.933930183,
29-08-2023 15:37,218.37,41.3,7802.78,7.8,54,0.865179398,210.4,46.7,8719.08,8.72,52,0.887377089,218.64,53.02,10948.17,10.95,47,0.944435006,220.95,53.55,10137.61,10.14,50,0.856805432,224.94,55.47,10845.55,10.85,55,0.869214284,211.26,49.67,8999.8,9,46,0.857672247,212.28,45.18,8763.91,8.76,48,0.913782004,210.68,42.83,7953.24,7.95,48,0.881399209,
29-08-2023 15:37,209.92,44.83,8615.65,8.62,47,0.915515457,217,59.7,11532.06,11.53,46,0.890169914,214.76,41.84,8039.12,8.04,45,0.894670663,229.46,43.36,9171.71,9.17,45,0.921836782,217.45,51.5,9809.29,9.81,45,0.875933445,225.87,42.13,8396.51,8.4,49,0.882365826,222.97,45.67,9073.55,9.07,54,0.891045694,213.59,56.4,11286.55,11.29,55,0.93691736,
29-08-2023 15:37,230.57,49.58,10457.98,10.46,45,0.914826334,220.88,57.73,10924.18,10.92,47,0.856703868,214.48,48.5,9660.3,9.66,55,0.928671283,210.62,58.4,10931.76,10.93,49,0.888746225,224.54,55.76,10970.12,10.97,48,0.876183436,229.49,47.2,9284.96,9.28,48,0.857184558,221.78,43.02,8957.14,8.96,48,0.938807634,213.48,44.26,8607.85,8.61,48,0.911016176,
29-08-2023 15:37,228.77,57.84,12029.83,12.03,52,0.909143137,225.13,48.67,9949.24,9.95,47,0.908019082,227.75,52.74,10660.37,10.66,48,0.887510975,219.82,49.79,9612.77,9.61,53,0.878292703,230.15,56.11,11920.16,11.92,46,0.923061551,219.77,45.32,9023.14,9.02,50,0.905940303,216.95,42.92,8729.38,8.73,55,0.937484254,215.65,57.61,11046.78,11.05,54,0.889176995,
